Board,School,Level,GradeRange,Role,FirstName,LastName,Email,EmailSource,SchoolPhone,SchoolGeneralEmail,SchoolWebsite,Address,Notes,IsChristian
ACSI Eastern Canada,Adelfiha's Christian Academy,Elementary/Middle,"JK, SK, E",Principal,,,,,,,https://adelfiha.ca/,"Downsview, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Adelfiha's Christian Academy,Elementary/Middle,"JK, SK, E",Vice Principal,,,,,,,https://adelfiha.ca/,"Downsview, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Calvary Christian School,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,https://www.calvarychristianschoolniagara.com/,"St. Catherines, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Calvary Christian School,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,https://www.calvarychristianschoolniagara.com/,"St. Catherines, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Canaan Global Academy,High School,9-12,Principal,,,,,,,https://www.canaanacademy.ca/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Canaan Global Academy,High School,9-12,Athletic Director,,,,,,,https://www.canaanacademy.ca/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Canaan Global Academy,High School,9-12,Vice Principal,,,,,,,https://www.canaanacademy.ca/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Central Baptist Academy,Elementary/Middle,"JK, SK, E, MS",Principal,,,,,,,http://cbabrantford.ca/,"Brantford, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Central Baptist Academy,Elementary/Middle,"JK, SK, E, MS",Vice Principal,,,,,,,http://cbabrantford.ca/,"Brantford, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Community Life Christian School,K-12,"JK, SK, E, MS, HS",Principal,,,,,,,https://www.communitylifechristianschool.com/,"East York, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Community Life Christian School,K-12,"JK, SK, E, MS, HS",Athletic Director,,,,,,,https://www.communitylifechristianschool.com/,"East York, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Community Life Christian School,K-12,"JK, SK, E, MS, HS",Vice Principal,,,,,,,https://www.communitylifechristianschool.com/,"East York, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Cornerstone Montessori Prep School,K-12,"JK, SK, E, MS, HS",Principal,,,,,,,https://cornerstoneprep.ca/preschool/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Cornerstone Montessori Prep School,K-12,"JK, SK, E, MS, HS",Athletic Director,,,,,,,https://cornerstoneprep.ca/preschool/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Cornerstone Montessori Prep School,K-12,"JK, SK, E, MS, HS",Vice Principal,,,,,,,https://cornerstoneprep.ca/preschool/,"Toronto, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Destiny Christian Academy,Elementary/Middle,"JK, SK, E",Principal,,,,,,,http://www.destinychristianacademy.ca/,"Kingston, Ontario",ACSI Eastern Canada member,true
ACSI Eastern Canada,Destiny Christian Academy,Elementary/Middle,"JK, SK, E",Vice Principal,,,,,,,http://www.destinychristianacademy.ca/,"Kingston, Ontario",ACSI Eastern Canada member,true
