run,ok,http_status,ms,task_count,error
1,False,400,22422,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, sequence, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
2,False,400,24106,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, reading-comp, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
3,False,400,19829,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
4,False,400,22150,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
5,False,400,17551,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, reading-comp, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
6,False,400,18522,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, timeline, matching, open-text, photo, make-and-snap, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
7,False,400,17827,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, reading-comp, sort, sequence, timeline, matching, open-text, photo, make-and-snap, photo-journal, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
8,False,400,22013,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, sequence, timeline, matching, open-text, photo, make-and-snap, photo-journal, body-break, motion-mission, musical-chairs, mad-dash-sequence, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
9,False,400,26990,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, timeline, matching, open-text, photo, make-and-snap, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
10,False,400,20762,0,"AI did not return a task for: multiple-choice, physical-multiple-choice, true-false, short-answer, reading-comp, sequence, timeline, matching, open-text, photo, make-and-snap, body-break, motion-mission, musical-chairs, mad-dash-sequence, brain-blitz, true-false-tictactoe, flashcards, flashcards-race, guess-who, hangman-duel, word-weaver-duel, pet-feeding, collaboration, live-debate, brainstorm-battle, fake-out, brain-spark-notes, mind-mapper, narration-synthesize, role-play-deck, script-play, echo-chain, pronunciation, speech-recognition"
